fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,pickup_date,pickup_day,pickup_hour,pickup_month,pickup_year,pickup_day_of_week,trip_distance
4.5,-73.844311,40.721319,-73.84161,40.712278000000005,1.0,165.0,15.0,17.0,6.0,2009.0,1,0.6404870231407276
16.9,-74.016048,40.711303,-73.979268,40.782004,1.0,369.0,5.0,16.0,1.0,2010.0,2,5.250669652366417
5.7,-73.982738,40.76127,-73.991242,40.750562,2.0,956.0,18.0,0.0,8.0,2011.0,4,0.8634109565058572
7.7,-73.98713000000001,40.733143,-73.991567,40.758092,1.0,1202.0,21.0,4.0,4.0,2012.0,6,1.7393859082192853
5.3,-73.96809499999999,40.768008,-73.956655,40.783762,1.0,431.0,9.0,7.0,3.0,2010.0,2,1.2422184522938338
12.1,-74.000964,40.731629999999996,-73.972892,40.758233000000004,1.0,733.0,6.0,9.0,1.0,2011.0,4,2.3532812947026924
7.5,-73.980002,40.751661999999996,-73.973802,40.764842,1.0,1415.0,20.0,20.0,11.0,2012.0,2,0.9667334508100913
16.5,-73.9513,40.774138,-73.990095,40.751048,1.0,1094.0,4.0,17.0,1.0,2012.0,3,2.5820734065621256
10.21,-74.006462,40.726713000000004,-73.993078,40.731628,1.0,1428.0,3.0,13.0,12.0,2012.0,1,0.7787219700910466
8.9,-73.98065799999999,40.733872999999996,-73.99154,40.758138,2.0,244.0,2.0,1.0,9.0,2009.0,3,1.7706760219420508
5.3,-73.996335,40.737142,-73.980721,40.733559,1.0,1189.0,8.0,7.0,4.0,2012.0,0,0.8541225604123159
4.1,-73.991601,40.744712,-73.983081,40.744682,2.0,309.0,6.0,1.0,11.0,2009.0,5,0.4460000452566923
7.0,-74.00536,40.728867,-74.008913,40.710907,1.0,1639.0,2.0,19.0,7.0,2013.0,2,1.2547869528389628
7.7,-74.00182099999999,40.737547,-73.99806,40.722788,2.0,821.0,5.0,17.0,4.0,2011.0,2,1.038587535559335
12.5,-73.98643,40.760465,-73.98899,40.737075,1.0,1871.0,19.0,7.0,2.0,2014.0,3,1.6216387091398405
5.3,-73.98106,40.73769,-73.99417700000001,40.728412,1.0,202.0,22.0,16.0,7.0,2009.0,3,0.9394537560241448
5.3,-73.969505,40.784843,-73.958732,40.783357,1.0,551.0,7.0,14.0,7.0,2010.0,3,0.5728742459853281
4.0,-73.979815,40.751902,-73.979446,40.755481,1.0,2161.0,6.0,20.0,12.0,2014.0,6,0.24803806655791508
10.5,-73.985382,40.747858,-73.97837700000001,40.76207,1.0,613.0,7.0,13.0,9.0,2010.0,2,1.0481670492173423
11.5,-73.957954,40.779252,-73.96125,40.758787,1.0,1499.0,12.0,12.0,2.0,2013.0,2,1.4244747105414817
4.5,-73.99170699999999,40.770505,-73.98545899999999,40.763671,1.0,217.0,6.0,18.0,8.0,2009.0,4,0.5743307487576093
4.9,-74.000632,40.747473,-73.986672,40.740577,1.0,703.0,6.0,12.0,12.0,2010.0,1,0.8723791778007471
6.1,-73.969622,40.756972999999995,-73.98115200000001,40.759712,1.0,343.0,10.0,15.0,12.0,2009.0,4,0.6324148837656913
7.3,-73.991875,40.754437,-73.97723,40.774322999999995,3.0,898.0,21.0,16.0,6.0,2011.0,2,1.5732787571139308
4.5,-73.988893,40.76016,-73.98644499999999,40.757857,3.0,905.0,28.0,19.0,6.0,2011.0,2,0.20428873466200442
9.3,-73.98925799999999,40.690835,-74.004133,40.72569,1.0,1215.0,4.0,6.0,5.0,2012.0,5,2.5311326483864627
4.5,-73.98102,40.737759999999994,-73.98066800000001,40.730497,2.0,1679.0,11.0,0.0,8.0,2013.0,0,0.5021631014335413
5.5,-73.976075,40.752421999999996,-73.981082,40.759285,1.0,1871.0,19.0,16.0,2.0,2014.0,3,0.5417817957191495
14.4,-74.01048279,40.71766663,-73.98577118,40.66036606,1.0,2357.0,21.0,21.0,6.0,2015.0,0,4.165393949010836
6.8,-73.87302700000001,40.773883000000005,-73.984545,40.769545,3.0,8.0,9.0,16.0,1.0,2009.0,5,5.84293710734268
5.7,-73.976162,40.744988,-73.990002,40.738323,2.0,975.0,7.0,14.0,9.0,2011.0,3,0.8584793073071956
18.1,-73.993717,40.740784999999995,-73.99927199999999,40.676617,1.0,975.0,7.0,23.0,9.0,2011.0,3,4.44311650914428
10.63,-73.98332977,40.73871994,-73.93319702,40.84722519,1.0,2197.0,11.0,3.0,1.0,2015.0,0,7.94240131995733
4.5,-73.99017334,40.75644684,-73.98561859,40.76282883,1.0,2256.0,12.0,8.0,3.0,2015.0,4,0.5012597005404096
5.3,-73.995199,40.754740000000005,-74.005416,40.751084000000006,1.0,1109.0,19.0,10.0,1.0,2012.0,4,0.5914216310188065
9.0,-73.95774,40.773617,-73.977087,40.758465,6.0,1784.0,24.0,11.0,11.0,2013.0,0,1.4563713579795663
9.8,-73.972673,40.759186,-73.969897,40.791367,1.0,60.0,2.0,20.0,3.0,2009.0,1,2.2282313529908926
8.1,-73.984267,40.744960999999996,-73.981646,40.759608,1.0,815.0,29.0,15.0,3.0,2011.0,2,1.021265856785727
10.9,-74.003899,40.725514000000004,-73.976484,40.765537,2.0,1013.0,15.0,10.0,10.0,2011.0,6,3.115515321649058
17.5,-73.97845,40.76292,-74.008482,40.716502,1.0,1782.0,22.0,8.0,11.0,2013.0,5,3.5718024939968847
12.1,-73.988558,40.7372,-73.958688,40.780747999999996,1.0,160.0,10.0,21.0,6.0,2009.0,3,3.3907421540130493
5.3,-73.997037,40.737095000000004,-73.98612800000001,40.735043,1.0,790.0,4.0,18.0,3.0,2011.0,5,0.5884609369599838
6.9,-73.971114,40.758944,-73.97793,40.736613,1.0,968.0,31.0,21.0,8.0,2011.0,3,1.5836360762999022
4.5,-73.980822,40.74442,-73.991093,40.748796999999996,1.0,878.0,1.0,20.0,6.0,2011.0,3,0.6168586373550875
3.3,-73.988877,40.763577000000005,-73.985573,40.760262,1.0,1073.0,14.0,7.0,12.0,2011.0,3,0.2869824453638783
3.3,-73.98666,40.756071999999996,-73.989727,40.751702,5.0,1290.0,18.0,0.0,7.0,2012.0,3,0.3419574983326059
9.0,-73.992253,40.742657,-73.983597,40.755947,1.0,1485.0,29.0,12.0,1.0,2013.0,2,1.0239471752742093
9.7,-73.985582,40.739765000000006,-73.973899,40.760426,1.0,1065.0,6.0,9.0,12.0,2011.0,2,1.5530027441419156
5.5,-73.952825,40.772048,-73.95219399999999,40.781152,3.0,1370.0,6.0,20.0,10.0,2012.0,6,0.6298914486636599
8.0,-73.980298,40.783722999999995,-73.979628,40.763179,1.0,1479.0,23.0,7.0,1.0,2013.0,3,1.4198861194309698
7.5,-73.97770799999999,40.746212,-73.975782,40.745055,1.0,1706.0,7.0,3.0,9.0,2013.0,6,0.1286660629958192
16.59,-73.974497,40.751603,-73.934927,40.851566999999996,4.0,1770.0,10.0,1.0,11.0,2013.0,0,7.210250952989495
