"","fare_amount","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","pickup_date","pickup_hour","pickup_month","pickup_year","pickup_day_of_week","pickup_day","trip_distance"
"1",4.5,-73.844311,40.721319,-73.84161,40.712278,1,"166",17,6,2009,2,15,0.641204509480837
"2",16.9,-74.016048,40.711303,-73.979268,40.782004,1,"370",16,1,2010,3,5,5.25655155667246
"3",5.7,-73.982738,40.76127,-73.991242,40.750562,2,"957",0,8,2011,5,18,0.864378167012736
"4",7.7,-73.98713,40.733143,-73.991567,40.758092,1,"1203",4,4,2012,7,21,1.74133440266981
"5",5.3,-73.968095,40.768008,-73.956655,40.783762,1,"432",7,3,2010,3,9,1.24361001004649
"6",12.1,-74.000964,40.73163,-73.972892,40.758233,1,"734",9,1,2011,5,6,2.35591748708947
"7",7.5,-73.980002,40.751662,-73.973802,40.764842,1,"1416",20,11,2012,3,20,0.967816404837306
"8",16.5,-73.9513,40.774138,-73.990095,40.751048,1,"1095",17,1,2012,4,4,2.58496589590124
"9",9.48,-74.006462,40.726713,-73.993078,40.731628,1,"1429",13,12,2012,2,3,0.779594308704985
"10",8.9,-73.980658,40.733873,-73.99154,40.758138,2,"245",1,9,2009,4,2,1.77265956818086
"11",5.3,-73.996335,40.737142,-73.980721,40.733559,1,"1190",7,4,2012,1,8,0.855079364729496
"13",4.1,-73.991601,40.744712,-73.983081,40.744682,2,"310",1,11,2009,6,6,0.446499663079076
"14",7,-74.00536,40.728867,-74.008913,40.710907,1,"1640",19,7,2013,3,2,1.2561925891497
"15",7.7,-74.001821,40.737547,-73.99806,40.722788,2,"822",17,4,2011,3,5,1.0397509819567
"17",12.5,-73.98643,40.760465,-73.98899,40.737075,1,"1872",7,2,2014,4,19,1.62345530069135
"18",5.3,-73.98106,40.73769,-73.994177,40.728412,1,"203",16,7,2009,4,22,0.940506151385702
"19",5.3,-73.969505,40.784843,-73.958732,40.783357,1,"552",14,7,2010,4,7,0.573515990584229
"20",4,-73.979815,40.751902,-73.979446,40.755481,1,"2162",20,12,2014,7,6,0.248315924456133
"21",10.5,-73.985382,40.747858,-73.978377,40.76207,1,"614",13,9,2010,3,7,1.04934122643875
"22",11.5,-73.957954,40.779252,-73.96125,40.758787,1,"1500",12,2,2013,3,12,1.42607043530802
"23",4.5,-73.991707,40.770505,-73.985459,40.763671,1,"218",18,8,2009,5,6,0.57497412521861
"24",4.9,-74.000632,40.747473,-73.986672,40.740577,1,"704",12,12,2010,2,6,0.873356434612504
"25",6.1,-73.969622,40.756973,-73.981152,40.759712,1,"344",15,12,2009,5,10,0.633123328833394
"26",7.3,-73.991875,40.754437,-73.97723,40.774323,3,"899",16,6,2011,3,21,1.57504117557955
"28",4.5,-73.988893,40.76016,-73.986445,40.757857,3,"906",19,6,2011,3,28,0.204517587547257
"29",9.3,-73.989258,40.690835,-74.004133,40.72569,1,"1216",6,5,2012,6,4,2.53396807359065
"30",4.5,-73.98102,40.73776,-73.980668,40.730497,2,"1680",0,8,2013,1,11,0.502725632347651
"31",5.5,-73.976075,40.752422,-73.981082,40.759285,1,"1872",16,2,2014,4,19,0.54238870894477
"32",12.42,-74.01048279,40.71766663,-73.98577118,40.66036606,1,"2358",21,6,2015,1,21,4.17006010600697
"33",17.49,-73.873027,40.773883,-73.984545,40.769545,3,"9",16,1,2009,6,9,5.84948248102165
"34",5.7,-73.976162,40.744988,-73.990002,40.738323,2,"976",14,9,2011,4,7,0.859440993766126
"35",18.1,-73.993717,40.740785,-73.999272,40.676617,1,"976",23,9,2011,4,7,4.44809377633628
"36",20.08,-73.98332977,40.73871994,-73.93319702,40.84722519,1,"2198",3,1,2015,1,11,7.95129855511701
"37",4.5,-73.99017334,40.75644684,-73.98561859,40.76282883,1,"2257",8,3,2015,5,12,0.501821222822534
"38",5.3,-73.995199,40.75474,-74.005416,40.751084,1,"1110",10,1,2012,5,19,0.592084152274221
"39",9,-73.95774,40.773617,-73.977087,40.758465,6,"1785",11,11,2013,1,24,1.45800281344657
"40",9.8,-73.972673,40.759186,-73.969897,40.791367,1,"61",20,3,2009,2,2,2.23072746225453
"41",8.1,-73.984267,40.744961,-73.981646,40.759608,1,"816",15,3,2011,3,29,1.02240989955229
"42",10.9,-74.003899,40.725514,-73.976484,40.765537,2,"1014",10,10,2011,7,15,3.11900538371734
"43",17.5,-73.97845,40.76292,-74.008482,40.716502,1,"1783",8,11,2013,6,22,3.57580369756016
"44",12.1,-73.988558,40.7372,-73.958688,40.780748,1,"161",21,6,2009,4,10,3.39454053071678
"45",5.3,-73.997037,40.737095,-73.986128,40.735043,1,"791",18,3,2011,6,4,0.589120143153318
"46",6.9,-73.971114,40.758944,-73.97793,40.736613,1,"969",21,8,2011,4,31,1.58541009713467
"47",4.5,-73.980822,40.74442,-73.991093,40.748797,1,"879",20,6,2011,4,1,0.617549655749574
"48",3.3,-73.988877,40.763577,-73.985573,40.760262,1,"1074",7,12,2011,4,14,0.287303928617724
"49",3.3,-73.98666,40.756072,-73.989727,40.751702,5,"1291",0,7,2012,4,18,0.342340564923581
"50",9,-73.992253,40.742657,-73.983597,40.755947,1,"1486",12,1,2013,3,29,1.02509422175907
"51",9.7,-73.985582,40.739765,-73.973899,40.760426,1,"1066",9,12,2011,3,6,1.55474244867457
"52",5.5,-73.952825,40.772048,-73.952194,40.781152,3,"1371",20,10,2012,7,6,0.630597064354489
"53",8,-73.980298,40.783723,-73.979628,40.763179,1,"1480",7,1,2013,4,23,1.42147670377793
"54",7.5,-73.977708,40.746212,-73.975782,40.745055,1,"1707",3,9,2013,7,7,0.128810196808273
"55",18.63,-73.974497,40.751603,-73.934927,40.851567,4,"1771",1,11,2013,1,10,7.21832801874961
"56",15.3,-73.97151,40.755886,-73.968067,40.801173,1,"1095",18,1,2012,4,4,3.13772141941182
"57",18.5,-73.985427,40.758853,-73.872907,40.774497,1,"515",18,5,2010,2,31,5.99321657655524
"58",9.7,-73.979542,40.727498,-73.999315,40.730088,4,"806",21,3,2011,7,19,1.05183091193771
"59",13.7,-74.002113,40.739582,-73.971918,40.791899,2,"1292",23,7,2012,5,19,3.94944327096114
"60",6.5,-73.98543,40.736011,-73.982501,40.724802,1,"82",12,3,2009,2,23,0.790389068719754
"61",5,-73.996148,40.74189,-73.992202,40.739425,6,"2019",10,7,2014,4,16,0.268030604694672
"62",4.5,-74.009137,40.713436,-74.002823,40.723428,3,"839",23,4,2011,6,22,0.766333630562662
"63",4.9,-74.003985,40.731677,-73.999765,40.723512,1,"1093",14,1,2012,2,2,0.606554439023041
"64",7,-73.966203,40.7675,-73.980915,40.77424,6,"1943",9,5,2014,5,1,0.900727264485775
"65",7.3,-74.003919,40.753019,-73.992368,40.735362,2,"1037",10,11,2011,2,7,1.36313125242999
